"Shu et al., British Journal of Cancer 2022 (PMID:35882941) ","Shu et al., International Journal of Cancer 2019 (PMID:31265136)","Jia et al., International Journal of Cancer 2019 (PMID: 36779764) "
S4 (98),S1 (56),S1 (30)
ABO,SELE,PARK7
ACPL2,IL3RA,MST1
ADGRF1,MET,TNXB
ADH1B,ENG,RSPO3
ANAPC7,IGFIR,SWAP70
ASIP,IR,CTSF
C1GALT1C1,LIFR,SERPINA1
C1QTNF5,FAM20B,MIF
CAMK1,ICAM2,A4GALT
CAMK1D,ISLR2,PGD
CAST,C1GALT1C1,AKR1A1
CD200,VCAM1,GSTM4
CD300C,ALPI,GSTM1
CDH5,FAM177A1,GSTM3
CLEC12A,CHST15,SEMA4A
CLK2,SELP,FH
CPNE1,TMPRSS11D,ANXA4
CST7,DOCK9,TLR1
CTSS,TNS2,PDCD6
DOCK9,CRYBB2,BTN3A3
DPP7,HTN1,GDI2
ENG,CPNE1,KDELC2
ERAP1,RELT,LAYN
F8,STOM,NTN4
FAM3D,ADH1B,CSK
FASLG,CTSF,SNUPN
FCGR2A,TPST2,NAGLU
FGF19,VEGFR3/FLT4,ASIP
FKBP6,FASLG,CPNE1
FLT4,KIN,CCDC134
FUT3,QSOX2,
GBP6,B3GNT2,
GLT8D1,VEGFR2/KDR,
GNS,KLRF1,
GOLM1,MAN1A2,
GPD1L,TIE1,
GRIA4,CAMK1,
HBZ,GAL,
HSPA1L,GOLM1,
ICAM1,SEC13,
ICAM2,BCAM,
ICAM5,CD36,
IGF1R,NOTCH1,
IL15RA,RSPO3,
IL17RA,TLL1,
IL1RL1,CDH5,
IL2RB,AKR1A1,
IL3RA,THSD1,
IL6R,PSD,
INSR,SULF2,
ISLR2,SCG3,
KDR,PRDM1,
KIR2DL2,TFPI,
KLHL13,SEMA6A,
L1CAM,JAG1,
LAG3,PTGR1,
LCT,,
LECT1,,
MAN1B1,,
MANBA,,
MICB,,
MINOS1,,
MLL2,,
MRPL33,,
NDUFS4,,
NPFF,,
NR1H2,,
NXPH1,,
PCDHB4,,
PDGFRL,,
PDK1,,
PIK3C2A,,
PLA2R1,,
PLXNB2,,
PMEL,,
PPY,,
PRDM1,,
PTGR1,,
QSOX2,,
RARRES1,,
RELB,,
REPIN1,,
SCARA3,,
SELE,,
SEMA6A,,
SERPINE2,,
SERPING1,,
SIGIRR,,
SIRPB1,,
SLAMF7,,
STOM,,
TGFBI,,
TMPRSS11D,,
TNS2,,
TREML2,,
TUFT1,,
TXNDC12,,
VTN,,
